month_number,facecream,facewash,toothpaste,bathingsoap,shampoo,moisturizer,total_units,total_profit
1,2500,1872,5200,9200,1200,1500,21100,21472
2,2630,5102,5100,6100,2100,1200,18330,22232
3,2140,2019,4550,9550,3550,1340,22470,23149
4,3400,3201,5870,8870,1870,1130,22270,24341
5,3600,2812,4560,7760,1560,1740,20960,22032
6,2760,2501,4890,7490,1890,1555,20140,21086
7,2980,3821,4780,8980,1780,1120,29550,23461
8,3700,3120,5860,9960,2860,1400,36140,26900
9,3540,3021,6100,8100,2100,1780,23400,24641
10,1990,2102,8300,10300,2300,1890,26670,26882
11,2340,1920,7300,13300,2400,2100,41280,29360
12,2900,3010,7400,14400,1800,1760,30020,31270
