,user_name,date,likes,retweets,content,hashtags
0,PierreCazeneuve,2022-10-31 23:04:17+00:00,272,111,"Ce soir, 12 milliards d'€ d'amendements votés ensemble par le #RN et la #NUPES.

Outre l'irresponsabilité dont les oppositions font preuve, c'est un mensonge de faire croire que le défi de la transition peut se résoudre à coup de millions. L'enjeu est bien plus grand et complexe https://t.co/Y1f4KwIOXd","['RN', 'NUPES']"
1,BSCNews,2022-10-31 20:00:35+00:00,4758,1615,"People associate #crypto with profit-seeking currency speculation, but the emerging #PiNetwork blockchain @PiCoreTeam says it is building to solve real-world problems.

Find out more:

#CryptoNews #Cryptocurrencies #DeFi 
https://t.co/qGKNXmJfS0","['crypto', 'PiNetwork', 'CryptoNews', 'Cryptocurrencies', 'DeFi']"
2,MrFreshTime,2022-10-31 19:23:42+00:00,388,127,"One of the most powerful 1 min videos I’ve seen lately. CRYPTO, WEB3, DeFi is THE NEW FINANCIAL SYSTEM, not theoretical CBDC’s or quantum nonsense. It’s right here &amp; everyone in here needs to understand that, especially #XRPcommunity. 2023 will be disruptive within the community! https://t.co/0vRRNV6cMk",['XRPcommunity']
3,__DeFi__,2022-10-31 19:03:26+00:00,291,37,invest in artists that invest in other artists,
4,FEGtoken,2022-10-31 17:14:29+00:00,805,262,"A new week begins as we prepare for the next exciting month on the #FEG roadmap journey! 💪

Be sure to join the #FEGtoken community on #CoinMarketCap for engaging conversation and all the latest project updates. ❤️

https://t.co/dUKkzJkc1n

#Crypto #BSCGems #ETH #Halloween #DeFi https://t.co/7rCONFjJQ8","['FEG', 'FEGtoken', 'CoinMarketCap', 'Crypto', 'BSCGems', 'ETH', 'Halloween', 'DeFi']"
5,hackernoon,2022-10-31 17:01:11+00:00,1800,45,"📣 The Defi Writing Contest by @sora_xor Winners Announced! 

🥳 Congratulations to @DFXLuna, @ModernEremite, @Anurag0117 for winning in round 2!

🔥 Participate in the next round to win BIG. 
https://t.co/rzSJAxzt5G",
6,0xngmi,2022-10-31 16:55:09+00:00,247,24,"defi protocols will pay crypto media websites 50k for a single article that boosts PR for a few days when they could just make a PR to llamayield and:
- get permanent marketing
- perfectly target intended audience (ppl that will see your yields are defi users looking to deploy)",
7,beehaber,2022-10-31 16:42:50+00:00,536,116,"Mogul Productions ($STARS), en iyi filmlerin yapılmasını sağlamak amacıyla, yaratıcıları, film hayranlarını ve film finansörlerini tek bir alanda birleştiren, merkezi olmayan bir film finansmanı (#DeFi) ve film tabanlı bir #NFT platformudur.

#İşBirliği 

https://t.co/YmYuKxNhAU","['DeFi', 'NFT', 'İşBirliği']"
8,DeFi_Dad,2022-10-31 16:13:01+00:00,1180,496,"Good gracious, Web3 social media is gonna be one helluva narrative driving the next bull run.",
9,topbscnews,2022-10-31 15:36:49+00:00,3518,1981,"Most Visited Projects On @CoinMarketCap Last 24h🚀

🥇#BABYDOGE 
@BabyDogeCoin
🥈 $QUACK 
@RichQuack
🥉 $DOGE 
@dogecoin
4⃣ $BTC #BTC

#topbscnews #RichQUACK  #BNB #BSC #DeFi #Binance #CRYPTO #CryptoNews #BNBChain #Web3 https://t.co/GMBGqgpVkt","['BABYDOGE', 'BTC', 'topbscnews', 'RichQUACK', 'BNB', 'BSC', 'DeFi', 'Binance', 'CRYPTO', 'CryptoNews', 'BNBChain', 'Web3']"
10,bsc_daily,2022-10-31 15:26:50+00:00,2949,1190,"🎉 @BabyDogeCoin PARTNERSHIP with @DeRaceNFT 🤝

#DERC - #NFT horse racing #metaverse based on #blockchain and powered by $DERC ⚡️

#BABYDOGE - a deflationary token designed to become more scarce over time🔥

More details👇

#BNB #BSC #WEB3 #METAVERSE #DEFI https://t.co/idkaHiGdOj","['DERC', 'NFT', 'metaverse', 'blockchain', 'BABYDOGE', 'BNB', 'BSC', 'WEB3', 'METAVERSE', 'DEFI']"
11,stephendpalley,2022-10-31 14:51:16+00:00,473,117,"DeFi is at an historical inflection point.

The legal status of these alternative financial rails will be resolved for short/mid-term purposes in the next 2 to 3 years, maybe sooner.  

A thread.  1/n",
12,ThorHartvigsen,2022-10-31 14:16:13+00:00,686,256,"- COLLECTION OF ALPHA TOOLS🛠 -

How can you spot 100x tokens &amp; $10k airdrops?

Defi researchers &amp; analysts all have one thing in common. They utilize tools to gain an edge🔎

Here are some of the best FREE tools you might not know about but definitely should take advantage of⚡️",
13,magpiexyz_io,2022-10-31 14:03:48+00:00,6424,9909,"Day7️⃣ Vote-Locked MGP
 
Lock MGP and get vlMGP at 1:1 ratio.💯

Benefits
💰Earn +400% APR
⚖️Governance rights

A snapshot will be taken NOV 1st, the team will verify each task and randomly select winners.📷
 
RT + Mint OAT to share 1k $BUSD!🎁
https://t.co/VEqtbD18Z2

#BNB #DEFI https://t.co/kebkLrASNU","['BNB', 'DEFI']"
14,Henry_DeFi,2022-10-31 12:23:58+00:00,239,9,A solana maxi is born every minute https://t.co/lPi9iZpMTk,
15,LucidCiC,2022-10-31 11:40:16+00:00,325,46,"Cardano Summit is in a couple weeks! We will get to hear all about the new innovative DeFi projects as well as more about Mithril, Input Endorsers, Lace Wallet, and Hydra! Charles also said he has a special surprise to announce for the community!😏 CardaNovember here we come!🏄",
16,bokujyuumai,2022-10-31 10:08:34+00:00,356,92,"BTC超速報：香港政府は17日に続き、厳しい仮想通貨規制を緩和し一般投資家にも仮想通貨投資を許可する方針の一環として公開協議会を発足。
さらに香港におけるビットコインETF承認の可能性についても言及

#ビットコイン #仮想通貨 #Bitcoin #DeFi #中国 #香港 #イーサリアム #NFT #暗号資産 https://t.co/9lYan1M63S","['ビットコイン', '仮想通貨', 'Bitcoin', 'DeFi', '中国', '香港', 'イーサリアム', 'NFT', '暗号資産']"
17,ActualiteBarca,2022-10-31 09:10:14+00:00,1302,104,"Robert Lewandowski : ""Je suis au bon endroit, même si je sais que la première saison ne sera pas facile. C'est un gros défi pour moi, parfois il faut sortir de sa zone de confort et relever de nouveaux défis dans la vie.""",
18,DefiIgnas,2022-10-31 07:09:29+00:00,520,145,"1/ Looking for new #DeFi projects?

I launched early stage project database 2 weeks ago.

There are already 50 exciting projects! Ranging from high-yield lending protocol to your DegenScore as an NFT.

These are 7 of them🧵",['DeFi']
19,francoisedegois,2022-10-31 06:49:05+00:00,323,85,"2.139 645 voix seulement séparent #Lula de #Bolsonaro (156 millions d’électeurs).Le bolsonarisme,alliage  extrême droite/évangélisme s’est ancré dans le pays, progressant en nombre de gouverneurs de députés(99/513). Le défi social/ écologique de #Lula est  immense et réjouissant https://t.co/6MdPq1q2hM","['Lula', 'Bolsonaro', 'Lula']"
20,OlimpioCrypto,2022-10-31 01:13:44+00:00,1060,156,"It appears @AaveAave is coming to @zksync 

Matter Labs is making sure all top DeFi protocols are available ASAP - very good sign, Uniswap in motion too https://t.co/uKHXycs0ei",
21,Flowslikeosmo,2022-10-31 01:00:05+00:00,618,133,"1/24 A #Cosmos DeFi Tsunami is coming fast 🌊

@SeiNetwork is building the first Layer 1 optimized for trading.

Find out why Sei could bring on a wave of disruption in the Cosmos and beyond. 🧵👇 https://t.co/v0bryVpdcc",['Cosmos']
22,Bitboy_Crypto,2022-10-31 00:13:27+00:00,1727,238,"I’m super excited to see what the #CardanoCommunity is going to bring to the world of DeFi. 

We already see how much #Cardano NFTs crush everything else. Expect the same thing for DeFi.

Tag your favorite $ADA/Cardano project you are excited for below 👇","['CardanoCommunity', 'Cardano']"
23,Dejitaru_Tsuka,2022-10-30 22:47:49+00:00,367,154,"ALL $TSUKA TOKENS AND STABLECOINS HAVE BEEN RETURNED!!!!! 🐉🐉🐉🐉🐉

Thank you WHITEHAT AND THE COMMUNITY FOR BELIEVING IN THE DRAGON!!

$TSUKA IS HERE TO SAVE DEFI

“To the victor goes the spoils.”

https://t.co/nCCZPETP7e https://t.co/QF9fBzV1nX",
24,AlgodTrading,2022-10-30 19:00:58+00:00,497,21,99% of DeFi https://t.co/kfPYQdRAZn,
25,GotagaTV,2022-10-30 19:00:00+00:00,1400,112,"Le défi urbex sera-t-il validé ? 

Découvrez ça demain en live à partir de 20H pour une émission spécial Halloween avec @AmineMaTue &amp; @Inoxtag... et @theodortytb en invité surprise ! 👻

▶️ https://t.co/HWYYk2q1Of | https://t.co/yVHT9uxmdk https://t.co/WUHu90v7K5",
26,BrettHarrison88,2022-10-30 18:24:26+00:00,241,47,1/ DeFi,
27,TheDeFinvestor,2022-10-30 18:19:53+00:00,321,54,"Too much alpha was shared about @AaveAave in this interview:

→ AAVE Debit Card is coming

→ An AAVE app for social media &amp; DeFi is in the works

→ AAVE V3 will be deployed on Ethereum next

→ GHO stablecoin is launching soon

→ the revenue of GHO might go to AAVE stakers👀",
28,DeFi_Dad,2022-10-30 17:01:54+00:00,592,38,He’s gonna have to block a lot more if he’s bothered by pushback around his extremely poor approach to regulating crypto. https://t.co/LG9VevvpqE,
29,JoStowasser,2022-10-30 10:21:23+00:00,1012,18,"Dir hat niemand gezeigt, wo der Notfallwagen steht. Du hast noch nie ein Medikament selbst aufgezogen. Du hast noch nie eine Maskenbeatmung gemacht. Du hast noch nie einen Defi bedient. Du weißt nicht mal, dass er auch als externer Schrittmacher eingesetzt werden kann.",
30,paulomilo7,2022-10-30 09:19:05+00:00,204,195,"Hey #Defi degens and Liquidity providers get in here and check this out.

@Dradex_io is the first unified AMM and order book decentralized exchange built on the Solana blockchain to facilitate trades with minimum slippage.

And it has a lot of activities and incentives programs🧵",['Defi']
31,Cov_duk,2022-10-30 04:27:13+00:00,426,152,"I took a break from threading to spend more time reading. 

Time to level up 💪

Here are 13 good reads covering DeFi, Games, the market &amp; more 🧵",
32,VitalikButerin,2022-10-30 03:38:43+00:00,2002,209,"Regs on defi frontends that *could* be more helpful may include:

(i) limits on leverage
(ii) requiring transparency about what audits, FV or other security checks were done on contract code
(iii) usage gated by knowledge-based tests instead of plutocratic net-worth minimum rules",
33,VitalikButerin,2022-10-30 03:35:44+00:00,1263,88,"Basically, there's two main classes of regulatory policy goals: (i) consumer protection, (ii) making it harder for baddies to move large amounts of money around. The issues around (ii) are concentrated not in defi, but in large-scale crypto payments in general.",
34,VitalikButerin,2022-10-30 03:33:37+00:00,2413,316,"The ""KYC on defi frontends"" idea does not seem very pointful to me: it would annoy users but do nothing against hackers. Hackers write custom code to interact with contracts already. Exchanges are clearly a much more sensible place to do the KYC, and that's happening already.",
