Date,Price,Open,High,Low,Change %
"Dec 31, 2021",6.454,6.481,6.49,6.451,-0.23%
"Dec 30, 2021",6.469,6.484,6.484,6.469,0.12%
"Dec 29, 2021",6.461,6.484,6.484,6.461,-0.26%
"Dec 28, 2021",6.478,6.491,6.497,6.476,0.20%
"Dec 27, 2021",6.465,6.469,6.47,6.447,0.05%
"Dec 24, 2021",6.462,6.479,6.479,6.45,0.03%
"Dec 23, 2021",6.46,6.486,6.486,6.457,-0.06%
"Dec 22, 2021",6.464,6.483,6.486,6.462,-0.06%
"Dec 21, 2021",6.468,6.445,6.475,6.445,0.51%
"Dec 20, 2021",6.435,6.401,6.468,6.401,0.37%
"Dec 17, 2021",6.411,6.381,6.415,6.381,0.58%
"Dec 16, 2021",6.374,6.374,6.377,6.369,0.16%
"Dec 15, 2021",6.364,6.357,6.365,6.353,0.13%
"Dec 14, 2021",6.356,6.366,6.369,6.356,-0.22%
"Dec 13, 2021",6.37,6.37,6.379,6.356,0.00%
"Dec 10, 2021",6.37,6.356,6.371,6.347,0.35%
"Dec 09, 2021",6.348,6.366,6.366,6.347,0.02%
"Dec 08, 2021",6.347,6.402,6.402,6.343,-0.69%
"Dec 07, 2021",6.391,6.375,6.393,6.372,0.50%
"Dec 06, 2021",6.359,6.364,6.375,6.356,-0.16%
"Dec 03, 2021",6.369,6.352,6.372,6.352,0.27%
"Dec 02, 2021",6.352,6.348,6.355,6.34,-0.02%
"Dec 01, 2021",6.353,6.36,6.36,6.345,0.43%
"Nov 30, 2021",6.326,6.331,6.342,6.307,-0.14%
"Nov 29, 2021",6.335,6.375,6.375,6.329,0.08%
"Nov 26, 2021",6.33,6.338,6.338,6.319,-0.58%
"Nov 25, 2021",6.367,6.376,6.376,6.366,0.00%
"Nov 24, 2021",6.367,6.39,6.39,6.363,0.05%
"Nov 23, 2021",6.364,6.372,6.377,6.361,0.20%
"Nov 22, 2021",6.351,6.339,6.353,6.321,0.09%
"Nov 18, 2021",6.345,6.351,6.351,6.335,-0.25%
"Nov 17, 2021",6.361,6.379,6.385,6.358,-0.05%
