Particulars,2021,2020,2019
Revenue From Operations [Gross],85912,79047,73107
Revenue From Operations [Net],85912,79047,73107
Total Operating Revenues,85912,79047,73107
Other Income,2467,2700,2852
Total Revenue,88379,81747,75959
Operating And Direct Expenses,13533,13791,12633
Employee Benefit Expenses,45179,42434,38296
Finance Costs,126,114,0
Depreciation And Amortisation Expenses,2321,2144,1599
Other Expenses,2743,2787,3504
Total Expenses,63902,61270,56032
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",24477,20477,19927
Profit/Loss Before Tax,24477,20477,19927
Current Tax,6013,5235,5189
Deferred Tax,416,-301,36
Total Tax Expenses,6429,4934,5225
Profit/Loss After Tax And Before ExtraOrdinary Items,18048,15543,14702
Profit/Loss From Continuing Operations,18048,15543,14702
Profit/Loss For The Period,18048,15543,14702
Basic EPS (Rs.),42.37,36.34,33.66
Diluted EPS (Rs.),42.33,36.32,33.64
Equity Share Dividend,9158,9553,13768
