Particulars,2021,2020,2019
Equity Share Capital,164.7,164.6,164.2
Total Share Capital,164.7,164.6,164.2
Reserves and Surplus,4153.9,2992,3141.8
Total Reserves and Surplus,4153.9,2992,3141.8
Total Shareholders Funds,4318.6,3156.6,3306
Long Term Borrowings,0,0,0.5
Other Long Term Liabilities,449.8,676.2,17.4
Total Non-Current Liabilities,449.8,676.2,17.9
Short Term Borrowings,0,0,0
Trade Payables,267.3,258.7,213.1
Other Current Liabilities,1102.2,892.6,502.1
Short Term Provisions,222.7,172.4,139.9
Total Current Liabilities,1592.2,1323.7,855.1
Total Capital And Liabilities,6360.6,5156.5,4179
Tangible Assets,781.2,860.1,375.7
Intangible Assets,494.4,548.9,591
Capital Work-In-Progress,22.4,13.6,29.7
Fixed Assets,1298,1422.6,996.4
Non-Current Investments,117.7,82,121.6
Deferred Tax Assets [Net],35.1,183.5,38.8
Long Term Loans And Advances,47.6,45.7,67.5
Other Non-Current Assets,289,169.3,188.9
Total Non-Current Assets,1787.4,1903.1,1413.2
Current Investments,1930.7,694.4,683.6
Trade Receivables,1274.2,1438.9,1335.6
Cash And Cash Equivalents,757.5,585.5,254.7
Short Term Loans And Advances,4.1,9.9,12.3
OtherCurrentAssets,606.7,524.7,479.6
Total Current Assets,4573.2,3253.4,2765.8
Total Assets,6360.6,5156.5,4179
Contingent Liabilities,125.5,158.5,299.7
Expenditure In Foreign Currency,3684.5,4213.9,3851.6
Other Earnings,7670.4,7481.5,6795.3
Bonus Equity Share Capital,147.37,147.37,147.37
Non-Current Investments Quoted Market Value,115.3,79.6,119.2
Non-Current Investments Unquoted Book Value,2.4,2.4,2.4
Current Investments Quoted Market Value,1714.6,587.8,590.8
Current Investments Unquoted Book Value,216.1,106.6,92.8
No. of Shares,16.483,16.483,16.483
